"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"as-bal-mss-cab","as-bal-mss-cab","","","",0,*,"","","","null {[]} {[]}
","AS BAL MSS CAB - Modèle logique","Modèle logique de la boîte aux lettres MSSanté de cabinet (CAB).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"as-bal-mss-cab.adresse","as-bal-mss-cab.adresse","","","",1,1,"","","","string {[]} {[]}
","Adresse BAL","Adresse de messagerie MSSanté","","","","","","","","","",,,,,"",,,,"as-bal-mss-cab.adresse",1,1,"",""
"as-bal-mss-cab.description","as-bal-mss-cab.description","","","",0,1,"","","","string {[]} {[]}
","Description","Description fonctionnelle de la BAL","","","","","","","","","",,,,,"",,,,"as-bal-mss-cab.description",0,1,"",""
"as-bal-mss-cab.listeRouge","as-bal-mss-cab.listeRouge","","","",0,1,"","","","boolean {[]} {[]}
","Liste rouge","Indicateur liste rouge. true : la BAL ne doit pas être publiée ; false : la BAL peut être publiée.","","","","","","","","","",,,,,"",,,,"as-bal-mss-cab.listeRouge",0,1,"",""
