"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"as-bal-mss-app","as-bal-mss-app","as-bal-mss-app","","","",0,*,"","","","null {[]} {[]}
","AS BAL MSS APP - Modèle logique","Modèle logique de la boîte aux lettres MSSanté applicative (APP), rattachée à une structure (EJ ou EG).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"as-bal-mss-app","as-bal-mss-app.adresse","as-bal-mss-app.adresse","","","",1,1,"","","","string {[]} {[]}
","Adresse BAL","Adresse de messagerie MSSanté","","","","","","","","","",,,,,"",,,,"as-bal-mss-app.adresse",1,1,"",""
"as-bal-mss-app","as-bal-mss-app.idnatStruct","as-bal-mss-app.idnatStruct","","","",1,1,"","","","string {[]} {[]}
","Identifiant national de structure","Identifiant national de la structure porteuse de la BAL (EJ ou EG)","","","","","","","","","",,,,,"",,,,"as-bal-mss-app.idnatStruct",1,1,"",""
"as-bal-mss-app","as-bal-mss-app.serviceRattachement","as-bal-mss-app.serviceRattachement","","","",0,1,"","","","string {[]} {[]}
","Service de rattachement","Nom et description du service de rattachement de l'utilisateur de la BAL dans l'organisation","","","","","","","","","",,,,,"",,,,"as-bal-mss-app.serviceRattachement",0,1,"",""
"as-bal-mss-app","as-bal-mss-app.responsable","as-bal-mss-app.responsable","","","",0,1,"","","","string {[]} {[]}
","Responsable","Coordonnées de la ou des personnes responsables au niveau opérationnel de la BAL","","","","","","","","","",,,,,"",,,,"as-bal-mss-app.responsable",0,1,"",""
"as-bal-mss-app","as-bal-mss-app.description","as-bal-mss-app.description","","","",0,1,"","","","string {[]} {[]}
","Description","Description fonctionnelle de la BAL","","","","","","","","","",,,,,"",,,,"as-bal-mss-app.description",0,1,"",""
"as-bal-mss-app","as-bal-mss-app.listeRouge","as-bal-mss-app.listeRouge","","","",0,1,"","","","boolean {[]} {[]}
","Liste rouge","Indicateur liste rouge. true : la BAL ne doit pas être publiée ; false : la BAL peut être publiée.","","","","","","","","","",,,,,"",,,,"as-bal-mss-app.listeRouge",0,1,"",""
"as-bal-mss-cab","as-bal-mss-cab","as-bal-mss-cab","","","",0,*,"","","","null {[]} {[]}
","AS BAL MSS CAB - Modèle logique","Modèle logique de la boîte aux lettres MSSanté de cabinet (CAB).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"as-bal-mss-cab","as-bal-mss-cab.adresse","as-bal-mss-cab.adresse","","","",1,1,"","","","string {[]} {[]}
","Adresse BAL","Adresse de messagerie MSSanté","","","","","","","","","",,,,,"",,,,"as-bal-mss-cab.adresse",1,1,"",""
"as-bal-mss-cab","as-bal-mss-cab.description","as-bal-mss-cab.description","","","",0,1,"","","","string {[]} {[]}
","Description","Description fonctionnelle de la BAL","","","","","","","","","",,,,,"",,,,"as-bal-mss-cab.description",0,1,"",""
"as-bal-mss-cab","as-bal-mss-cab.listeRouge","as-bal-mss-cab.listeRouge","","","",0,1,"","","","boolean {[]} {[]}
","Liste rouge","Indicateur liste rouge. true : la BAL ne doit pas être publiée ; false : la BAL peut être publiée.","","","","","","","","","",,,,,"",,,,"as-bal-mss-cab.listeRouge",0,1,"",""
